"(7, 53)","[(29, 1), (778986167, 1)]"
"(7, 61)","[(52379047267, 1)]"
"(7, 67)","[(175897, 1), (522061, 1)]"
"(7, 71)","[(7, 1), (883, 1), (21020917, 1)]"
"(7, 73)","[(153436090543, 1)]"
"(7, 79)","[(1289, 1), (2017, 1), (281, 1), (337, 1)]"
"(7, 89)","[(502628805631, 1)]"
"(7, 97)","[(43, 1), (967, 1), (20241187, 1)]"
"(7, 101)","[(71, 1), (15100497917, 1)]"
"(7, 103)","[(29, 1), (585604027, 1), (71, 1)]"
"(7, 109)","[(113, 1), (281, 1), (53306107, 1)]"
"(7, 113)","[(7, 1), (44983, 1), (6670903, 1)]"
"(7, 127)","[(86353, 1), (43, 1), (162709, 1), (7, 1)]"
"(7, 131)","[(127, 1), (189967, 1), (211093, 1)]"
"(7, 151)","[(7960598843, 1), (1499, 1)]"
"(7, 157)","[(1205476469, 1), (12503, 1)]"
"(7, 163)","[(18871143464293, 1)]"
"(7, 181)","[(29, 1), (281, 1), (4338835663, 1)]"
"(7, 197)","[(97847, 1), (29, 1), (2957767, 1), (7, 1)]"
"(7, 199)","[(883, 1), (211, 1), (29, 1), (11552213, 1)]"
"(7, 211)","[(41233879, 1), (307189, 1), (7, 1)]"
"(7, 229)","[(673, 1), (215227848907, 1)]"
"(7, 241)","[(63113, 1), (3117376319, 1)]"
"(9, 47)","[(19, 1), (567332587, 1)]"
"(9, 53)","[(37, 1), (163, 1), (307, 1), (11971, 1)]"
"(9, 61)","[(903870199, 1), (3, 1), (19, 1)]"
"(9, 67)","[(3, 1), (30152894311, 1)]"
"(9, 71)","[(37, 1), (3462179509, 1)]"
"(9, 73)","[(3, 1), (19, 1), (181, 1), (14668471, 1)]"
"(9, 79)","[(397, 1), (3, 1), (204104071, 1)]"
"(9, 89)","[(6807972547, 1), (73, 1)]"
"(9, 97)","[(3, 1), (1153, 1), (240813217, 1)]"
"(9, 101)","[(19, 1), (55869535837, 1)]"
"(9, 109)","[(3, 1), (8803, 1), (63504919, 1)]"
"(9, 113)","[(122130181, 1), (17047, 1)]"
"(9, 127)","[(37, 1), (3, 1), (17347717, 1), (2179, 1)]"
"(9, 131)","[(395533, 1), (19, 1), (672499, 1)]"
"(9, 163)","[(3, 1), (6251791302919, 1)]"
"(9, 181)","[(12687679, 1), (3, 1), (37, 1), (24967, 1)]"
"(9, 197)","[(37, 1), (739, 1), (2137722121, 1)]"
"(9, 199)","[(19, 1), (3, 1), (829, 1), (1314283717, 1)]"
"(9, 257)","[(23596039, 1), (61363, 1), (199, 1)]"
"(11, 11)","[(15797, 1), (1806113, 1)]"
"(11, 13)","[(23, 1), (419, 1), (859, 1), (18041, 1)]"
"(11, 17)","[(2141993519227, 1)]"
"(11, 19)","[(104281, 1), (62060021, 1)]"
"(11, 23)","[(11, 1), (3937230404603, 1)]"
"(11, 29)","[(23, 1), (18944890940537, 1)]"
"(11, 31)","[(23, 1), (397, 1), (617, 1), (150332843, 1)]"
"(11, 37)","[(1855860368209, 1), (2663, 1)]"
"(11, 41)","[(23, 1), (132947, 1), (4499415031, 1)]"
"(11, 43)","[(6038099, 1), (3664405207, 1)]"
"(11, 53)","[(178250690949465223, 1)]"
"(11, 61)","[(199, 1), (859, 1), (4242586390571, 1)]"
"(11, 67)","[(11, 1), (89, 1), (1890149702927663, 1)]"
"(11, 71)","[(143554218709131407, 1), (23, 1)]"
"(11, 73)","[(23, 1), (3323, 1), (461561, 1), (123518407, 1)]"
"(11, 79)","[(1750258119644519, 1), (5479, 1)]"
"(11, 89)","[(11, 1), (67, 1), (2530067, 1), (16912503169, 1)]"
"(11, 101)","[(23, 1), (1876403, 1), (2585122674619, 1)]"
"(11, 109)","[(9967, 1), (23971944503021153, 1)]"
"(11, 127)","[(23, 1), (47834644354838156839L, 1)]"
"(11, 131)","[(23, 1), (67, 1), (353, 1), (1453, 1), (15401, 1), (123210869, 1)]"
"(11, 151)","[(23, 1), (14864609, 1), (18145704541823, 1)]"
"(11, 181)","[(727, 1), (52198426022458982993L, 1)]"
"(11, 193)","[(23, 1), (67, 1), (27259, 1), (644557, 1), (2662289521, 1)]"
"(11, 199)","[(11, 1), (117942356533, 1), (75449464927, 1)]"
"(11, 241)","[(67, 1), (727, 1), (13625956967612438879L, 1)]"
"(11, 251)","[(309277, 1), (4745137, 1), (679007463289, 1)]"
"(13, 7)","[(16148168401, 1)]"
"(13, 11)","[(1093, 1), (3158528101, 1)]"
"(13, 13)","[(53, 1), (264031, 1), (1803647, 1)]"
"(13, 17)","[(212057, 1), (2919196853, 1)]"
"(13, 19)","[(599, 1), (29251, 1), (133338869, 1)]"
"(13, 23)","[(480393499, 1), (47691619, 1)]"
"(13, 29)","[(521, 1), (148123, 1), (4748492087, 1)]"
"(13, 31)","[(42407, 1), (2426789, 1), (7908811, 1)]"
"(13, 37)","[(6765811783780036261, 1)]"
"(13, 41)","[(11831, 1), (110969, 1), (17615988547, 1)]"
"(13, 43)","[(40911050578149780601L, 1)]"
"(13, 53)","[(13, 1), (3297113, 1), (11681692691969, 1)]"
"(13, 61)","[(187123, 1), (14421466756460791, 1)]"
"(13, 67)","[(79, 1), (157, 1), (5279, 1), (126867415853933, 1)]"
"(13, 71)","[(3202878953, 1), (5196608121641, 1)]"
"(13, 73)","[(147083, 1), (157870943937341207, 1)]"
"(13, 79)","[(13, 1), (8346157, 1), (551604349222681, 1)]"
"(13, 89)","[(53, 1), (79, 1), (2003, 1), (29785404613009501, 1)]"
"(13, 97)","[(53, 1), (79, 1), (20359, 1), (8224356155341457, 1)]"
"(13, 101)","[(79, 1), (157, 1), (521, 1), (60919, 1), (2891083442729, 1)]"
"(13, 109)","[(292631, 1), (9700639967080761011L, 1)]"
"(13, 127)","[(12346432697, 1), (1437263292796553, 1)]"
"(13, 131)","[(13, 1), (79, 1), (25061845458479893445539L, 1)]"
"(13, 157)","[(225720437292391488431243701L, 1)]"
"(13, 163)","[(10865297, 1), (32574836199364307993L, 1)]"
"(13, 181)","[(301159, 1), (26991238223, 1), (152943249629, 1)]"
"(13, 193)","[(131, 1), (65027, 1), (104287, 1), (3022376751345979, 1)]"
"(13, 199)","[(3581839, 1), (3501822143, 1), (309047089313, 1)]"
"(13, 211)","[(131, 1), (37181, 1), (1606424290213518947263L, 1)]"
"(13, 241)","[(22699, 1), (1698257678577380445298567L, 1)]"
"(14, 53)","[(673, 1), (32323789, 1)]"
"(14, 61)","[(50689400581, 1)]"
"(14, 67)","[(29, 1), (211, 1), (10193, 1), (1429, 1)]"
"(14, 71)","[(29, 1), (4355900459, 1)]"
"(14, 73)","[(149289169177, 1)]"
"(14, 89)","[(329617, 1), (1491001, 1)]"
"(14, 97)","[(7, 1), (71, 1), (113, 1), (14680513, 1)]"
"(14, 101)","[(1051113090301, 1)]"
"(14, 103)","[(2904217, 1), (407191, 1)]"
"(14, 109)","[(29, 1), (57305301593, 1)]"
"(14, 113)","[(43, 1), (47992767859, 1)]"
"(14, 127)","[(4163092657543, 1)]"
"(14, 131)","[(43, 1), (201251, 1), (579587, 1)]"
"(14, 151)","[(29, 1), (43, 1), (18131, 1), (743, 1), (701, 1)]"
"(14, 157)","[(13763, 1), (3011, 1), (359101, 1)]"
"(14, 163)","[(5923, 1), (147211, 1), (21379, 1)]"
"(14, 181)","[(70359419453, 1), (71, 1), (7, 1)]"
"(14, 197)","[(617, 1), (94256916629, 1)]"
"(14, 199)","[(953, 1), (43, 1), (1507926533, 1)]"
"(14, 229)","[(135647, 1), (4429069, 1), (239, 1)]"
"(14, 241)","[(379, 1), (857333, 1), (29, 1), (20707, 1)]"
"(15, 19)","[(31, 1), (211, 1), (2460181, 1)]"
"(15, 23)","[(74912328481, 1)]"
"(15, 29)","[(181, 1), (22111, 1), (120691, 1)]"
"(15, 31)","[(2521, 1), (327412201, 1)]"
"(15, 37)","[(2671, 1), (4021, 1), (318211, 1)]"
"(15, 41)","[(31, 1), (22381, 1), (11228251, 1)]"
"(15, 43)","[(11416525335601, 1)]"
"(15, 53)","[(61085389725361, 1)]"
"(15, 59)","[(3041286301, 1), (1531, 1), (31, 1)]"
"(15, 61)","[(188565401138641, 1)]"
"(15, 67)","[(1021, 1), (1171, 1), (334569511, 1)]"
"(15, 71)","[(31, 1), (991, 1), (20723940961, 1)]"
"(15, 73)","[(61, 1), (13039585876021, 1)]"
"(15, 79)","[(201151, 1), (11801401, 1), (631, 1)]"
"(15, 89)","[(3892362992828641, 1)]"
"(15, 97)","[(244471, 1), (31728277831, 1)]"
"(15, 101)","[(3511, 1), (7321, 1), (417108271, 1)]"
"(15, 109)","[(5851, 1), (3374267262211, 1)]"
"(15, 113)","[(1230063939301, 1), (691, 1), (31, 1)]"
"(15, 127)","[(5434487431, 1), (12354871, 1)]"
"(15, 131)","[(430381781941, 1), (6451, 1), (31, 1)]"
"(15, 151)","[(268491175463565601, 1)]"
"(15, 163)","[(495254403438941521, 1)]"
"(15, 181)","[(421, 1), (2721074964591901, 1)]"
"(15, 193)","[(108194366928301, 1), (571, 1), (31, 1)]"
"(15, 199)","[(72931, 1), (61, 1), (550040637511, 1)]"
"(16, 19)","[(2, 1), (15073, 1), (563377, 1)]"
"(16, 23)","[(2, 1), (17, 1), (3697, 1), (623009, 1)]"
"(16, 29)","[(2, 1), (17, 1), (26209, 1), (561377, 1)]"
"(16, 31)","[(17, 1), (2, 1), (25085030513, 1)]"
"(16, 37)","[(2, 1), (17, 1), (103308219233, 1)]"
"(16, 41)","[(2, 1), (17, 1), (234850742033, 1)]"
"(16, 43)","[(5844100138801, 1), (2, 1)]"
"(16, 47)","[(11905643330881, 1), (2, 1)]"
"(16, 53)","[(31129845205681, 1), (2, 1)]"
"(16, 59)","[(337, 1), (2, 1), (217849313953, 1)]"
"(16, 67)","[(1153, 1), (2, 1), (2593, 1), (28097, 1), (2417, 1)]"
"(16, 71)","[(291295393, 1), (577, 1), (17, 1), (2, 1), (113, 1)]"
"(16, 73)","[(806460091894082, 1)]"
"(16, 79)","[(70978049, 1), (6481, 1), (17, 1), (2, 1), (97, 1)]"
"(16, 89)","[(3936588805702082, 1)]"
"(16, 97)","[(2, 1), (17, 1), (230512752775793, 1)]"
"(16, 101)","[(929, 1), (2, 1), (5828076994769, 1)]"
"(16, 109)","[(6041730265889, 1), (17, 1), (2, 1), (97, 1)]"
"(16, 113)","[(2, 1), (17, 1), (3121, 1), (250527187073, 1)]"
"(16, 131)","[(17, 2), (7841, 1), (2, 1), (19136877329, 1)]"
"(16, 193)","[(17, 1), (2, 1), (56621263321146353, 1)]"
"(16, 257)","[(193, 1), (2, 1), (165553, 1), (15377, 1), (1601, 1), (12097, 1)]"
"(17, 5)","[(409, 1), (466344409, 1)]"
"(17, 7)","[(14009, 1), (2767631689, 1)]"
"(17, 11)","[(50544702849929377, 1)]"
"(17, 13)","[(103, 1), (443, 1), (15798461357509, 1)]"
"(17, 19)","[(3044803, 1), (99995282631947, 1)]"
"(17, 23)","[(103, 1), (62246266355102810647L, 1)]"
"(17, 29)","[(3911, 1), (1977917, 1), (33505187587603, 1)]"
"(17, 37)","[(613, 1), (109172471, 1), (189475557532747, 1)]"
"(17, 41)","[(201815909, 1), (323824851129646973, 1)]"
"(17, 43)","[(647, 1), (56770350869, 1), (3807926835707, 1)]"
"(17, 61)","[(103, 1), (362759437743508955104646759L, 1)]"
"(17, 67)","[(239, 1), (443, 1), (647, 1), (11070911, 1), (220718351121029, 1)]"
"(17, 71)","[(239, 1), (3652120847, 1), (484563667343825089, 1)]"
"(17, 73)","[(137, 1), (155072369, 1), (909139159, 1), (34140570383, 1)]"
"(17, 89)","[(409, 1), (2738039191709, 1), (13995372836850701, 1)]"
"(17, 97)","[(62065212901958868055012327674641L, 1)]"
"(17, 101)","[(239, 1), (40162093, 1), (12338123580442797472571L, 1)]"
"(17, 103)","[(17, 1), (1879495234129, 1), (5071570862542629217, 1)]"
"(17, 109)","[(400706797255068758036954693985521L, 1)]"
"(17, 113)","[(1259, 1), (1556610373, 1), (363839516808129960023L, 1)]"
"(17, 127)","[(527532101, 1), (75755912653, 1), (115512048133057, 1)]"
"(17, 137)","[(17, 1), (103, 1), (8859813646194068340402291825431L, 1)]"
"(17, 193)","[(137, 1), (20707, 1), (81968898621607, 1), (16020872865349477, 1)]"
"(18, 47)","[(3691, 1), (973459, 1), (3, 1)]"
"(18, 53)","[(3, 1), (19, 1), (388845829, 1)]"
"(18, 61)","[(51520147381, 1)]"
"(18, 67)","[(90458081407, 1)]"
"(18, 71)","[(3, 1), (19, 1), (73, 1), (109, 1), (282439, 1)]"
"(18, 73)","[(151333837273, 1)]"
"(18, 79)","[(19, 1), (12794050657, 1)]"
"(18, 89)","[(3, 1), (8718957649, 1), (19, 1)]"
"(18, 97)","[(19, 1), (43840583803, 1)]"
"(18, 101)","[(3, 1), (181, 1), (1954915507, 1)]"
"(18, 109)","[(19, 1), (73, 1), (6301, 1), (191899, 1)]"
"(18, 113)","[(109, 1), (3, 1), (523, 1), (12173653, 1)]"
"(18, 127)","[(4195870866307, 1)]"
"(18, 131)","[(1684636965397, 1), (3, 1)]"
"(18, 163)","[(18755365247263, 1)]"
"(18, 181)","[(61291, 1), (19, 1), (30194029, 1)]"
"(18, 197)","[(3, 1), (19483906887919, 1)]"
"(18, 199)","[(582247, 1), (379, 1), (281431, 1)]"
"(18, 257)","[(19, 1), (3457, 1), (3, 1), (1462259593, 1)]"
"(19, 5)","[(191, 1), (6271, 1), (3981071, 1)]"
"(19, 7)","[(419, 1), (4534166740403, 1)]"
"(19, 11)","[(6115909044841454629, 1)]"
"(19, 13)","[(12865927, 1), (9468940004449, 1)]"
"(19, 17)","[(229, 1), (1103, 1), (202607147, 1), (291973723, 1)]"
"(19, 23)","[(2129, 1), (63877469, 1), (24939218613613, 1)]"
"(19, 29)","[(1386659, 1), (157193380600163813309L, 1)]"
"(19, 31)","[(571, 1), (14251, 1), (88770666332610762169L, 1)]"
"(19, 37)","[(4413131, 1), (3933538789573170812717L, 1)]"
"(19, 41)","[(12541, 1), (87423871753, 1), (100200775387183, 1)]"
"(19, 43)","[(229, 1), (2699, 1), (4219, 1), (46399, 1), (2137444528747943, 1)]"
"(19, 61)","[(229, 1), (607127818287731321660577427051L, 1)]"
"(19, 67)","[(751410597400064602523400427092397L, 1)]"
"(19, 71)","[(1900857799450121, 1), (1121659287043817009, 1)]"
"(19, 73)","[(48527, 1), (67679, 1), (1069952429562890572890811L, 1)]"
"(19, 97)","[(21433, 1), (280314943, 1), (97199158345481611029493L, 1)]"
"(19, 109)","[(1787, 1), (2664128404134007786366568953129253L, 1)]"
"(19, 113)","[(4278041, 1), (377213803, 1), (1813514509, 1), (3111134955989, 1)]"
"(19, 127)","[(496833428679257, 1), (149861247689324730312041L, 1)]"
"(19, 181)","[(43713986862401934971169718340891095138399L, 1)]"
"(19, 191)","[(4740414766116926933918204081767L, 1), (19, 1), (1277351533, 1)]"
