p, e, n, C1, C2, C3, C4, C5, C6
2, 1, 201, False, True, True,,,
2, 2, 201, False, True, True,,,
2, 4, 201, False, True, True,,,
2, 5, 201, True, True, True,,,
2, 7, 201, True, False, False,,,
7, 1, 201, False, True, True,,,
7, 2, 201, True, False, False,,,
11, 1, 201, False, True, True,,,
11, 2, 201, True, False, False,,,
13, 1, 201, False, True, True,,,
13, 2, 201, True, False, False,,,
17, 1, 201, True, True, True,,,
19, 1, 201, False, True, True,,,
23, 1, 201, True, True, True,,,
29, 1, 201, True, True, True,,,
31, 1, 201, False, True, True,,,
37, 1, 201, True, False, False,,,
41, 1, 201, True, False, False,,,
47, 1, 201, True, False, False,,,
61, 1, 201, True, False, False,,,
71, 1, 201, True, False, False,,,
73, 1, 201, True, False, False,,,
79, 1, 201, True, False, False,,,
83, 1, 201, True, False, False,,,
97, 1, 201, True, False, False,,,
101, 1, 201, True, False, False,,,
103, 1, 201, True, False, False,,,
113, 1, 201, True, False, False,,,
127, 1, 201, True, False, False,,,
151, 1, 201, True, False, False,,,
157, 1, 201, True, False, False,,,
163, 1, 201, True, False, False,,,
167, 1, 201, True, False, False,,,
173, 1, 201, True, False, False,,,
181, 1, 201, True, False, False,,,
191, 1, 201, True, False, False,,,
197, 1, 201, True, False, False,,,
199, 1, 201, True, False, False,,,
2, 1, 202, False, True, True,,,
2, 2, 202, False, True, True,,,
2, 3, 202, False, True, True,,,
2, 5, 202, True, True, True,,,
2, 6, 202, True, False, False,,,
3, 1, 202, False, True, True,,,
3, 2, 202, False, True, True,,,
3, 3, 202, True, True, True,,,
7, 1, 202, False, True, True,,,
7, 2, 202, True, False, False,,,
11, 1, 202, False, True, True,,,
11, 2, 202, True, False, False,,,
13, 1, 202, False, True, True,,,
17, 1, 202, False, True, True,,,
23, 1, 202, False, True, True,,,
29, 1, 202, True, True, True,,,
41, 1, 202, True, False, False,,,
43, 1, 202, True, False, False,,,
47, 1, 202, True, False, False,,,
53, 1, 202, True, False, False,,,
59, 1, 202, True, False, False,,,
61, 1, 202, True, False, False,,,
67, 1, 202, True, False, False,,,
73, 1, 202, True, False, False,,,
83, 1, 202, True, False, False,,,
89, 1, 202, True, False, False,,,
103, 1, 202, True, False, False,,,
107, 1, 202, True, False, False,,,
109, 1, 202, True, False, False,,,
113, 1, 202, True, False, False,,,
127, 1, 202, True, False, False,,,
131, 1, 202, True, False, False,,,
139, 1, 202, True, False, False,,,
149, 1, 202, True, False, False,,,
151, 1, 202, True, False, False,,,
163, 1, 202, True, False, False,,,
167, 1, 202, True, False, False,,,
173, 1, 202, True, False, False,,,
191, 1, 202, True, False, False,,,
197, 1, 202, True, False, False,,,
199, 1, 202, True, False, False,,,
