p,	e,	result
2,	1,	x^57 + x^56 + x^5 + x + 1	7 * 32377 * 524287 * 1212847
2,	2,	x^114 + x^113 + x^14 + x^2 + 1	3^2 * 7 * 571 * 32377 * 174763 * 524287 * 1212847 * 160465489
2,	3,	x^171 + x^170 + x^26 + x + 1	7 * 73 * 32377 * 524287 * 1212847 * 93507247 * 3042645634792541312037847
2,	4,	x^228 + x^227 + x^17 + x + 1	3^2 * 5 * 7 * 13 * 229 * 457 * 571 * 32377 * 131101 * 160969 * 174763 * 524287 * 525313 * 1212847 * 160465489 * 275415303169
2,	5,	x^285 + x^284 + x^27 + x^3 + 1	7 * 31 * 151 * 191 * 32377 * 524287 * 1212847 * 420778751 * 30327152671 * 1491477035689218775711 * 25349242986637720573561
2,	6,	x^342 + x^341 + x^68 + x + 1	3^3 * 7 * 19^2 * 73 * 571 * 32377 * 174763 * 524287 * 1212847 * 93507247 * 160465489 * 3042645634792541312037847 * 19177458387940268116349766612211
2,	7,	True	7^2 * 127 * 337 * 32377 * 73417 * 83791 * 524287 * 1212847 * 163537220852725398851434325720959 * 29724614739876344125010817433703775877960388838436140673
2,	7,	True	7^2 * 127 * 337 * 32377 * 73417 * 83791 * 524287 * 1212847 * 163537220852725398851434325720959 * 29724614739876344125010817433703775877960388838436140673
2,	7,	True	7^2 * 127 * 337 * 32377 * 73417 * 83791 * 524287 * 1212847 * 163537220852725398851434325720959 * 29724614739876344125010817433703775877960388838436140673
2,	7,	True	7^2 * 127 * 337 * 32377 * 73417 * 83791 * 524287 * 1212847 * 163537220852725398851434325720959 * 29724614739876344125010817433703775877960388838436140673
2,	7,	True	7^2 * 127 * 337 * 32377 * 73417 * 83791 * 524287 * 1212847 * 163537220852725398851434325720959 * 29724614739876344125010817433703775877960388838436140673
2,	8,	True	3^2 * 5 * 7 * 13 * 17 * 229 * 241 * 457 * 571 * 1217 * 32377 * 90289 * 131101 * 148961 * 160969 * 174763 * 524287 * 525313 * 1212847 * 160465489 * 9036489073 * 275415303169 * 24517014940753 * 29034057164920993379000074993
2,	8,	True	3^2 * 5 * 7 * 13 * 17 * 229 * 241 * 457 * 571 * 1217 * 32377 * 90289 * 131101 * 148961 * 160969 * 174763 * 524287 * 525313 * 1212847 * 160465489 * 9036489073 * 275415303169 * 24517014940753 * 29034057164920993379000074993
