p,n,poly,factorization
2633,2,x^2 + x + 6,2^4 * 3 * 7 * 47 * 439
2633,3,x^3 + x^2 + 3,2^3 * 7 * 19 * 47 * 365017
2633,4,x^4 + x^3 + 67,2^5 * 3 * 5 * 7 * 37 * 41 * 47 * 439 * 457
2633,5,x^5 + x^4 + 24,2^3 * 7 * 11 * 47 * 1717451 * 2545021
2633,6,x^6 + x^5 + 21,2^4 * 3^2 * 7 * 19 * 47 * 439 * 365017 * 2310019
2633,7,x^7 + x^6 + 6,2^3 * 7^2 * 29 * 47 * 232919 * 2103613 * 3351223
2633,8,x^8 + x^7 + 33,2^6 * 3 * 5 * 7 * 17 * 37 * 41 * 47 * 89 * 439 * 457 * 30313 * 523969
2633,9,x^9 + x^8 + 5,2^3 * 7 * 19 * 47 * 7057 * 365017 * 3801223 * 12421146637
2633,10,x^10 + x^9 + 31,2^4 * 3 * 7 * 11 * 31 * 47 * 439 * 1717451 * 2545021 * 1549804191311
2633,11,x^11 + x^10 + 40,2^3 * 7 * 47 * 2113 * 947684519 * 9620773471 * 831572833499
2633,12,x^12 + x^11 + 45,2^5 * 3^2 * 5 * 7 * 13 * 19 * 37 * 41 * 47 * 439 * 457 * 365017 * 2310019 * 3697089987541
2633,13,x^13 + x^12 + 57,2^3 * 7 * 47 * 53 * 4603 * 455258893953866355956698730957318699
2633,14,x^14 + x^13 + 13,2^4 * 3 * 7^2 * 29 * 47 * 439 * 1009 * 106261 * 232919 * 1127617 * 2103613 * 2754949 * 3351223
2633,15,x^15 + x^14 + 37,2^3 * 7 * 11 * 19 * 47 * 421 * 365017 * 1717451 * 2545021 * 84371851 * 65007314569448071
2633,16,x^16 + x^15 + 113,2^7 * 3 * 5 * 7 * 17 * 37 * 41 * 47 * 89 * 439 * 457 * 30313 * 523969 * 9435632369 * 122406890476639409
2633,17,x^17 + x^16 + 10,2^3 * 7 * 47 * 677213 * 911222407 * 1385603403723559 * 6242953518727985683261109
2633,18,x^18 + x^17 + 168,2^4 * 3^3 * 7 * 19 * 47 * 439 * 7057 * 365017 * 2310019 * 3801223 * 26397181 * 12421146637 * 4207521555631
2633,19,x^19 + x^18 + 5,2^3 * 7 * 47 * 191 * 2129 * 27314249 * 3331824713564194094419886586315927711161336463773
2633,20,x^20 + x^19 + 280,2^5 * 3 * 5^2 * 7 * 11 * 31 * 37 * 41 * 47 * 439 * 457 * 1717451 * 2545021 * 305553301 * 1549804191311 * 1511993158103670521
2633,21,x^21 + x^20 + 80,2^3 * 7^2 * 19 * 29 * 43 * 47 * 211 * 463 * 232919 * 365017 * 2103613 * 3351223 * 508054093 * 52000016177598915047732587
2633,22,x^22 + x^21 + 236,2^4 * 3 * 7 * 23 * 47 * 419 * 439 * 2113 * 171029 * 947684519 * 9620773471 * 831572833499 * 9712523086686783349782049
2633,23,x^23 + x^22 + 6,2^3 * 7 * 47 * 139 * 23369 * 326831 * 53042371 * 37888195699903513 * 833640585882544356522045742840277903281
